Variable,Value
fals_max_H1_0,43.60412578383347
fals_max_H2_0,43.65654450451649
fals_max_H1_1,43.56902733478813
fals_max_H2_1,43.65654450451649
fals_max_H1_2,43.52606693530879
fals_max_H2_2,43.65654450451649
fals_max_H1_3,43.47228246276552
fals_max_H2_3,43.65654450451649
fals_max_H1_4,43.377721050747255
fals_max_H2_4,43.65654450451649
fals_max_H1_5,43.377721050747255
fals_max_H2_5,43.65654450451649
fals_max_H1_6,43.377721050747255
fals_max_H2_6,43.63791934678716
fals_max_H1_7,43.377721050747255
fals_max_H2_7,43.63791934678716
fals_max_H1_8,43.377721050747255
fals_max_H2_8,43.63791934678716
fals_max_H1_9,43.377721050747255
fals_max_H2_9,43.63791934678716
