Variable,Value
fals_max_H1_0,37.06316218584385
fals_max_H2_0,36.89205306023564
fals_max_H1_1,36.845289671625494
fals_max_H2_1,36.83352510739684
fals_max_H1_2,36.845289671625494
fals_max_H2_2,36.83352510739684
fals_max_H1_3,36.79673352064714
fals_max_H2_3,36.62500665808989
fals_max_H1_4,36.79673352064714
fals_max_H2_4,36.62500665808989
fals_max_H1_5,36.79673352064714
fals_max_H2_5,36.62500665808989
fals_max_H1_6,36.79673352064714
fals_max_H2_6,36.62500665808989
fals_max_H1_7,36.79673352064714
fals_max_H2_7,36.62500665808989
fals_max_H1_8,36.79673352064714
fals_max_H2_8,36.62500665808989
fals_max_H1_9,36.79673352064714
fals_max_H2_9,36.62500665808989
