Variable,Value
fals_max_H1_0,68.45159702945728
fals_max_H2_0,68.74828393585375
fals_max_H1_1,68.40756760884256
fals_max_H2_1,68.70196731637623
fals_max_H1_2,68.35139012161551
fals_max_H2_2,68.70196731637623
fals_max_H1_3,68.3154886053091
fals_max_H2_3,68.70196731637623
fals_max_H1_4,68.3154886053091
fals_max_H2_4,68.70196731637623
fals_max_H1_5,68.3154886053091
fals_max_H2_5,68.68988377508344
fals_max_H1_6,68.29088756493138
fals_max_H2_6,68.67995076705517
fals_max_H1_7,68.29088756493138
fals_max_H2_7,68.57557571126347
fals_max_H1_8,68.29088756493138
fals_max_H2_8,68.57557571126347
fals_max_H1_9,68.29088756493138
fals_max_H2_9,68.57557571126347
