Variable,Value
fals_max_H1_0,49.925124422062424
fals_max_H2_0,50.21005582539232
fals_max_H1_1,49.86497066128294
fals_max_H2_1,50.21005582539232
fals_max_H1_2,49.86497066128294
fals_max_H2_2,50.21005582539232
fals_max_H1_3,49.86497066128294
fals_max_H2_3,50.21005582539232
fals_max_H1_4,49.86497066128294
fals_max_H2_4,50.21005582539232
fals_max_H1_5,49.86497066128294
fals_max_H2_5,50.21005582539232
fals_max_H1_6,49.86497066128294
fals_max_H2_6,50.21005582539232
fals_max_H1_7,49.86497066128294
fals_max_H2_7,50.21005582539232
fals_max_H1_8,49.86497066128294
fals_max_H2_8,50.20501450587989
fals_max_H1_9,49.86497066128294
fals_max_H2_9,50.20501450587989
