Variable,Value
fals_max_H1_0,30.139547349074746
fals_max_H2_0,30.056453044028217
fals_max_H1_1,30.087464352775726
fals_max_H2_1,30.00385163828355
fals_max_H1_2,30.087464352775726
fals_max_H2_2,30.00385163828355
fals_max_H1_3,30.087464352775726
fals_max_H2_3,29.976542145171322
fals_max_H1_4,30.087464352775726
fals_max_H2_4,29.895450475753762
fals_max_H1_5,30.087464352775726
fals_max_H2_5,29.895450475753762
fals_max_H1_6,29.983278011193534
fals_max_H2_6,29.895450475753762
fals_max_H1_7,29.983278011193534
fals_max_H2_7,29.895450475753762
fals_max_H1_8,29.983278011193534
fals_max_H2_8,29.895450475753762
fals_max_H1_9,29.983278011193534
fals_max_H2_9,29.895450475753762
