Variable,Value
fals_max_H1_0,56.04256159470606
fals_max_H2_0,56.49789171453466
fals_max_H1_1,56.04256159470606
fals_max_H2_1,56.49789171453466
fals_max_H1_2,56.04256159470606
fals_max_H2_2,56.49789171453466
fals_max_H1_3,56.04256159470606
fals_max_H2_3,56.49789171453466
fals_max_H1_4,56.04256159470606
fals_max_H2_4,56.49789171453466
fals_max_H1_5,56.04256159470606
fals_max_H2_5,56.49789171453466
fals_max_H1_6,56.04256159470606
fals_max_H2_6,56.49789171453466
fals_max_H1_7,56.04256159470606
fals_max_H2_7,56.49789171453466
fals_max_H1_8,56.04256159470606
fals_max_H2_8,56.49789171453466
fals_max_H1_9,56.04256159470606
fals_max_H2_9,56.49789171453466
