Variable,Value
fals_max_H1_0,23.279276513173386
fals_max_H2_0,23.492790303415404
fals_max_H1_1,23.260935468479033
fals_max_H2_1,23.417531104534476
fals_max_H1_2,23.260935468479033
fals_max_H2_2,23.395069845324088
fals_max_H1_3,23.260935468479033
fals_max_H2_3,23.395069845324088
fals_max_H1_4,23.260935468479033
fals_max_H2_4,23.395069845324088
fals_max_H1_5,23.224535373054266
fals_max_H2_5,23.395069845324088
fals_max_H1_6,23.176017405188077
fals_max_H2_6,23.393228520526122
fals_max_H1_7,23.176017405188077
fals_max_H2_7,23.393228520526122
fals_max_H1_8,23.176017405188077
fals_max_H2_8,23.393228520526122
fals_max_H1_9,23.176017405188077
fals_max_H2_9,23.357548001745272
